year,county_name,median_income,median_rent,rent_burden
2019,Contra Costa,99716,1819,21.890168077339645
2019,San Francisco,112449,1895,20.222500867059733
2019,Marin,115246,2069,21.54348090172327
2019,Solano,81472,1592,23.448546739984288
2019,San Mateo,122641,2316,22.66126336217089
2019,Sonoma,81018,1621,24.009479374953713
2019,Alameda,99406,1797,21.69285556203851
2019,Napa,88596,1700,23.02587024244887
2019,Santa Clara,124055,2268,21.938656241183345
2020,Alameda,104888,1904,21.783235451147892
2020,Contra Costa,103997,1928,22.24679558064175
2020,Marin,121671,2170,21.40197746381636
2020,Napa,92219,1775,23.09719255251087
2020,San Francisco,119136,2010,20.24576954069299
2020,San Mateo,128091,2435,22.811907159753613
2020,Santa Clara,130890,2386,21.8748567499427
2020,Solano,84638,1684,23.87580046787495
2020,Sonoma,86173,1743,24.272103791210704
2021,Alameda,112017,2043,21.885963737646964
2021,Contra Costa,110455,2061,22.391018967000136
2021,Marin,131008,2307,21.13153395212506
2021,Napa,97498,1880,23.138936183306324
2021,San Francisco,126187,2130,20.25565232551689
2021,San Mateo,136837,2599,22.7920810891791
2021,Santa Clara,140258,2530,21.64582412411413
2021,Solano,89648,1802,24.12100660360521
2021,Sonoma,91607,1856,24.312552534194985
2022,Alameda,122488,2229,21.837241199137875
2022,Contra Costa,120020,2234,22.336277287118815
2022,Marin,142019,2487,21.014089664059036
2022,Napa,105809,2037,23.102004555378088
2022,San Francisco,136689,2316,20.332287162829488
2022,San Mateo,149907,2805,22.453921431287398
2022,Santa Clara,153792,2719,21.215667915106117
2022,Solano,97037,1981,24.49787194575265
2022,Sonoma,99266,2029,24.52803578264461
2023,Alameda,126240,2318,22.03422053231939
2023,Contra Costa,125727,2322,22.162304039705074
2023,Marin,142785,2584,21.716566866267463
2023,Napa,108970,2141,23.57713132054694
2023,San Francisco,141446,2419,20.522319471741866
2023,San Mateo,156000,2893,22.253846153846155
2023,Santa Clara,159674,2814,21.148089231809813
2023,Solano,99994,2088,25.057503450207015
2023,Sonoma,102840,2093,24.422403733955658
