year,county_name,median_income,median_rent,census_rent_burden,market_rent,market_rent_burden
2019,Contra Costa,99716,1819,21.890168077339645,2275.0,27.4
2019,San Francisco,112449,1895,20.222500867059733,3519.0,37.6
2019,Marin,115246,2069,21.54348090172327,2892.0,30.1
2019,Solano,81472,1592,23.448546739984288,1870.0,27.5
2019,San Mateo,122641,2316,22.66126336217089,3136.0,30.7
2019,Sonoma,81018,1621,24.009479374953713,2073.0,30.7
2019,Alameda,99406,1797,21.69285556203851,2535.0,30.6
2019,Napa,88596,1700,23.02587024244887,2209.0,29.9
2019,Santa Clara,124055,2268,21.938656241183345,3010.0,29.1
2020,Alameda,104888,1904,21.783235451147892,2533.0,29.0
2020,Contra Costa,103997,1928,22.24679558064175,2327.0,26.9
2020,Marin,121671,2170,21.40197746381636,2944.0,29.0
2020,Napa,92219,1775,23.09719255251087,2287.0,29.8
2020,San Francisco,119136,2010,20.24576954069299,3323.0,33.5
2020,San Mateo,128091,2435,22.811907159753613,3083.0,28.9
2020,Santa Clara,130890,2386,21.8748567499427,2954.0,27.1
2020,Solano,84638,1684,23.87580046787495,1945.0,27.6
2020,Sonoma,86173,1743,24.272103791210704,2111.0,29.4
2021,Alameda,112017,2043,21.885963737646964,2532.0,27.1
2021,Contra Costa,110455,2061,22.391018967000136,2435.0,26.5
2021,Marin,131008,2307,21.13153395212506,3072.0,28.1
2021,Napa,97498,1880,23.138936183306324,2431.0,29.9
2021,San Francisco,126187,2130,20.25565232551689,3110.0,29.6
2021,San Mateo,136837,2599,22.7920810891791,2983.0,26.2
2021,Santa Clara,140258,2530,21.64582412411413,2907.0,24.9
2021,Solano,89648,1802,24.12100660360521,2102.0,28.1
2021,Sonoma,91607,1856,24.312552534194985,2223.0,29.1
2022,Alameda,122488,2229,21.837241199137875,2680.0,26.3
2022,Contra Costa,120020,2234,22.336277287118815,2585.0,25.8
2022,Marin,142019,2487,21.014089664059036,3282.0,27.7
2022,Napa,105809,2037,23.102004555378088,2634.0,29.9
2022,San Francisco,136689,2316,20.332287162829488,3339.0,29.3
2022,San Mateo,149907,2805,22.453921431287398,3208.0,25.7
2022,Santa Clara,153792,2719,21.215667915106117,3171.0,24.7
2022,Solano,97037,1981,24.49787194575265,2237.0,27.7
2022,Sonoma,99266,2029,24.52803578264461,2404.0,29.1
2023,Alameda,126240,2318,22.03422053231939,2693.0,25.6
2023,Contra Costa,125727,2322,22.162304039705074,2613.0,24.9
2023,Marin,142785,2584,21.716566866267463,3328.0,28.0
2023,Napa,108970,2141,23.57713132054694,2701.0,29.7
2023,San Francisco,141446,2419,20.522319471741866,3344.0,28.4
2023,San Mateo,156000,2893,22.253846153846155,3248.0,25.0
2023,Santa Clara,159674,2814,21.148089231809813,3229.0,24.3
2023,Solano,99994,2088,25.057503450207015,2261.0,27.1
2023,Sonoma,102840,2093,24.422403733955658,2472.0,28.8
